"Rank","Name","Platform","Year","Publisher","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
6799,"Sniper Elite 4","XOne",2017,"Rebellion Developments","Shooter",0.18,0.09,NA,0.03,0.3
6862,"Just Dance 2017","NS",2017,"Ubisoft","Music",0.07,0.2,NA,0.02,0.29
6925,"Cars 3: Driven to Win","PS4",2017,"Warner Bros. Interactive Entertainment","Racing",0.06,0.18,0.01,0.04,0.29
6954,"Ever Oasis","3DS",2017,"Nintendo","Role-Playing",0.13,0.08,0.05,0.02,0.29
6975,"Sonic Forces","XOne",2017,"Sega","Platform",0.15,0.11,NA,0.03,0.29
6976,"Culdcept","3DS",2017,"NIS America","Strategy",0.04,0.01,0.23,0.01,0.29
7012,"Star Trek Bridge Crew","PS4",2017,"Ubisoft","Action",0.11,0.12,NA,0.05,0.28
7083,"Little Nightmares","PC",2017,"Namco Bandai Games","Platform",NA,NA,NA,NA,NA
7109,"Spintires: MudRunner","PS4",2017,"Focus Home Interactive","Simulation",0.11,0.12,NA,0.05,0.28
7143,"The Binding of Isaac: Afterbirth+","NS",2017,"Nicalis","Action",0.17,0.08,NA,0.03,0.28
7151,"Gundam Versus","PS4",2017,"Namco Bandai Games","Action",0.08,NA,0.18,0.02,0.28
7224,"Etrian Odyssey V: Beyond the Myth","3DS",2017,"Atlus","Role-Playing",0.11,0.01,0.14,0.01,0.27
7243,"Resident Evil: Revelations Collection","NS",2017,"Capcom","Action",0.18,NA,0.07,0.02,0.27
7321,"Minecraft: Story Mode - Season Two","XOne",2017,"Telltale Games","Adventure",0.17,0.08,NA,0.02,0.27
7327,"The Snack World: TreJarers","3DS",2017,"Level 5","Role-Playing",NA,NA,0.27,NA,0.27
7328,"hack_me","PC",2017,"Unknown","Simulation",NA,NA,NA,NA,NA
7343,"Fate/Extella: The Umbral Star","PS4",2017,"Xseed Games","Action",0.12,NA,0.12,0.03,0.27
7373,"Friday the 13th: The Game","XOne",2017,"Gun Media","Action",0.21,0.03,NA,0.03,0.27
7384,"Project CARS 2","PC",2017,"Namco Bandai Games","Racing",NA,NA,NA,NA,NA
7395,"FIFA 18","X360",2017,"EA Sports","Sports",0.05,0.19,NA,0.02,0.26
7433,"Ultimate Marvel vs. Capcom 3","PS4",2017,"Capcom","Fighting",0.19,NA,0.02,0.04,0.26
7590,"Elex","PC",2017,"THQ Nordic","Role-Playing",NA,NA,NA,NA,NA
7604,"L.A. Noire","XOne",2017,"Rockstar Games","Adventure",0.14,0.09,NA,0.02,0.25
7684,"Danganronpa V3: Killing Harmony","PS4",2017,"NIS America","Adventure",0.09,0.05,0.07,0.03,0.25
7790,"NBA Live 18","PS4",2017,"EA Sports","Sports",0.2,NA,NA,0.05,0.24
7797,"Detention","PC",2017,"Coconut Island Games","Adventure",NA,NA,NA,NA,NA
7803,"The Land of Dasthir","PC",2017,"Back To Basics Gaming","Role-Playing",NA,NA,NA,NA,NA
7820,"Persona 5","PS3",2017,"Atlus","Role-Playing",0.07,0.02,0.14,0.02,0.24
7830,"Call of Duty: Modern Warfare Remastered","XOne",2017,"Activision","Shooter",0.16,0.06,NA,0.02,0.24
7833,".hack//G.U. Last Recode","PS4",2017,"Namco Bandai Games","Role-Playing",0.1,0.04,0.08,0.03,0.24
7866,"Crawl","PC",2017,"Powerhoof Pty Ltd","Action",NA,NA,NA,NA,NA
7874,"The Escapists 2","PS4",2017,"Sold Out","Action",0.04,0.16,NA,0.04,0.24
7929,"Dragon Ball Heroes: Ultimate Mission X","3DS",2017,"Namco Bandai Games","Misc",NA,NA,0.24,NA,0.24
7935,"The Elder Scrolls Online: Morrowind","PS4",2017,"Bethesda Softworks","MMO",0.11,0.09,NA,0.04,0.24
7961,"Digimon World: Next Order","PS4",2017,"Namco Bandai Games","Role-Playing",0.13,0.05,0.02,0.04,0.24
7971,"theHunter: Call of the Wild","PS4",2017,"THQ Nordic","Shooter",0.19,NA,NA,0.04,0.24
8022,"WWE 2K18","NS",2017,"2K Sports","Sports",0.14,0.08,NA,0.02,0.23
8069,"Elex","PS4",2017,"THQ Nordic","Role-Playing",0.03,0.16,NA,0.04,0.23
8070,"ZRoll","PC",2017,"Unknown","Platform",NA,NA,NA,NA,NA
8153,"Sniper: Ghost Warrior 3","PC",2017,"City Interactive","Shooter",NA,NA,NA,NA,NA
8167,"The Evil Within 2","PC",2017,"Bethesda Softworks","Action",NA,NA,NA,NA,NA
8168,"Shadows 2: Perfidia","PC",2017,"Unknown","Action-Adventure",NA,NA,NA,NA,NA
8217,"DiRT 4","XOne",2017,"Deep Silver","Racing",0.11,0.1,NA,0.02,0.23
8219,"Skylanders Imaginators","NS",2017,"Activision","Platform",0.1,0.1,NA,0.02,0.23
8221,"SingStar Celebration","PS4",2017,"Sony Interactive Entertainment","Music",0.04,0.15,NA,0.03,0.23
8255,"Pokemon Gold/Pokemon Silver","3DS",2017,"Nintendo","Role-Playing",NA,0.21,NA,0.01,0.22
8264,"Dead by Daylight","PS4",2017,"505 Games","Action",0.11,0.06,0.02,0.04,0.22
8278,"Micro Machines: World Series","PS4",2017,"Codemasters","Racing",0.03,0.16,NA,0.03,0.22
